,cdf,Time per Output Token
0,0.0,0.0054671258667392236
1,0.01,0.009086167589578543
2,0.02,0.009513893722593756
3,0.03,0.00992198737362248
4,0.04,0.010921717883843935
5,0.05,0.01134472962633634
6,0.06,0.01162029680830563
7,0.07,0.011855042454375702
8,0.08,0.012167315622267012
9,0.09,0.012191674612501781
10,0.1,0.012338856079540583
11,0.11,0.012413111785119417
12,0.12,0.012512814993719123
13,0.13,0.012868125059607022
14,0.14,0.012893887071738367
15,0.15,0.013023472834585331
16,0.16,0.01323352440140802
17,0.17,0.013366523577309688
18,0.18,0.013500859417599022
19,0.19,0.013527888165181794
20,0.2,0.013663845747083996
21,0.21,0.013718610605023348
22,0.22,0.013801169725858414
23,0.23,0.01385648497995479
24,0.24,0.013939873834026525
25,0.25,0.013967781489349901
26,0.26,0.014023764525396363
27,0.27,0.014079971942123988
28,0.28,0.014221478060087686
29,0.29,0.014249949487635409
30,0.3,0.014307063456409525
31,0.31,0.014364406338656776
32,0.32,0.01442197905186511
33,0.33,0.014508771070787758
34,0.34,0.014683925204981843
35,0.35000000000000003,0.014772293625825215
36,0.36,0.01480186778723828
37,0.37,0.014861193851189074
38,0.38,0.014950629081493246
39,0.39,0.015010551382498934
40,0.4,0.015100885452111988
41,0.41000000000000003,0.015161409982456598
42,0.42,0.01519176315559465
43,0.43,0.015283187764556231
44,0.44,0.015283187764556231
45,0.45,0.015375162570294712
46,0.46,0.015467690883915258
47,0.47000000000000003,0.015560776036449356
48,0.48,0.015623143813782043
49,0.49,0.01571716448796558
50,0.5,0.015875124670076096
51,0.51,0.015938752360509578
52,0.52,0.016034672378941295
53,0.53,0.016163464281624563
54,0.54,0.016325909852733606
55,0.55,0.016391344295595824
56,0.56,0.01652300101856939
57,0.5700000000000001,0.01655608009968765
58,0.58,0.01662243706766539
59,0.59,0.016755949948164837
60,0.6,0.016823107996896916
61,0.61,0.016890535215895276
62,0.62,0.017060287973823713
63,0.63,0.01709444270450204
64,0.64,0.01719731771141653
65,0.65,0.017231746775903854
66,0.66,0.017300811824038694
67,0.67,0.0174397734704088
68,0.68,0.017474687931811023
69,0.6900000000000001,0.017544726691017927
70,0.7000000000000001,0.017615046166413306
71,0.71,0.017756531770734444
72,0.72,0.01779208038288807
73,0.73,0.017970893823414057
74,0.74,0.018297298853416077
75,0.75,0.018370634647081274
76,0.76,0.01844426437148869
77,0.77,0.018555262656577566
78,0.78,0.018629632372265528
79,0.79,0.018666928933571365
80,0.8,0.01870430016266761
81,0.81,0.018854534751150547
82,0.8200000000000001,0.018854534751150547
83,0.8300000000000001,0.01896800205900161
84,0.84,0.01900597603709771
85,0.85,0.019044026039173982
86,0.86,0.01908215221743059
87,0.87,0.019158633712809566
88,0.88,0.01931251754843599
89,0.89,0.019584794375487293
90,0.9,0.01990067146884956
91,0.91,0.019940512652971382
92,0.92,0.020100676609200927
93,0.93,0.020181240362580743
94,0.9400000000000001,0.020384065268137352
95,0.9500000000000001,0.02071283355461296
96,0.96,0.02087920086043729
97,0.97,0.021089040387965444
98,0.98,0.021472080259448016
99,0.99,0.021774803602925667
100,1.0,0.02208179488046369
